Day;EnergyConsumptionDailyCumulative;EnergyConsumptionAverage;EnergyConsumptionDailyMaximum;EnergyConsumptionDailyMinimum;HeatingDailyCumulative;HeatingAverage ;HeatingDailyMaximum;HeatingDailyMinimum;CoolingDailyCumulative;CoolingAverage ;CoolingDailyMaximum;CoolingDailyMinimum;LightingDailyCumulative;LightingAverage ;LightingDailyMaximum;LightingDailyMinimum;PlugLoadsDailyCumulative;PlugLoadsAverage ;PlugLoadsDailyMaximum;PlugLoadsDailyMinimum;CarbonEquivalentEmissionsDailyCumulative;CarbonEquivalentEmissionsAverage ;CarbonEquivalentEmissionsDailyMaximum;CarbonEquivalentEmissionsDailyMinimum
48;11.925891;0.496912;2.334911;0.23485;4.17209;0.173837;2.011173;0;0;0;0;0;1.367933;0.056997;0.159062;0.015906;6.385869;0.266078;0.364907;0.218944;2.644707;0.110196;0.229675;0.071901
49;5.636406;0.23485;0.23485;0.23485;0;0;0;0;0;0;0;0;0.381749;0.015906;0.015906;0.015906;5.254658;0.218944;0.218944;0.218944;1.725614;0.071901;0.071901;0.071901
50;27.241538;1.135064;2.263426;0.307832;12.699535;0.529147;1.939688;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;5.276531;0.219855;0.353691;0.094244
51;21.702003;0.90425;2.328259;0.307832;7.16;0.298333;2.004521;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.916917;0.204872;0.306719;0.094244
52;18.302617;0.762609;1.653912;0.307832;3.760614;0.156692;1.330174;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.696237;0.195677;0.288748;0.094244
53;17.57235;0.732181;1.561966;0.307832;3.030348;0.126264;1.238228;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.648829;0.193701;0.288748;0.094244
54;16.572482;0.69052;1.155976;0.307832;2.030479;0.084603;0.832238;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.58392;0.190997;0.288748;0.094244
55;9.17455;0.382273;1.276552;0.23485;1.420749;0.059198;0.952814;0;0;0;0;0;1.367933;0.056997;0.159062;0.015906;6.385869;0.266078;0.364907;0.218944;2.466096;0.102754;0.160968;0.071901
56;5.636406;0.23485;0.23485;0.23485;0;0;0;0;0;0;0;0;0.381749;0.015906;0.015906;0.015906;5.254658;0.218944;0.218944;0.218944;1.725614;0.071901;0.071901;0.071901
57;18.733771;0.780574;1.766988;0.307832;4.191768;0.174657;1.443251;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.724226;0.196843;0.306379;0.094244
58;19.25645;0.802352;1.658529;0.307832;4.714447;0.196435;1.334792;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.758157;0.198257;0.316559;0.094244
59;18.128759;0.755365;1.696656;0.307832;3.586756;0.149448;1.372918;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.68495;0.195206;0.291181;0.094244
60;18.330154;0.763756;1.811573;0.307832;3.788152;0.15784;1.487835;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.698024;0.195751;0.288748;0.094244
61;17.002048;0.708419;1.551306;0.307832;2.460046;0.102502;1.227568;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.611807;0.192159;0.288748;0.094244
62;12.394093;0.516421;1.185753;0.23485;4.640292;0.193346;0.828388;0;0;0;0;0;1.367933;0.056997;0.159062;0.015906;6.385869;0.266078;0.364907;0.218944;2.675102;0.111463;0.203377;0.071901
63;5.636406;0.23485;0.23485;0.23485;0;0;0;0;0;0;0;0;0.381749;0.015906;0.015906;0.015906;5.254658;0.218944;0.218944;0.218944;1.725614;0.071901;0.071901;0.071901
64;24.901838;1.037577;3.004372;0.307832;10.359835;0.43166;2.680634;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;5.124643;0.213527;0.328805;0.094244
65;23.072475;0.961353;2.269861;0.307832;8.530473;0.355436;1.946123;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;5.005885;0.208579;0.324382;0.094244
66;19.333031;0.805543;2.089712;0.307832;4.791028;0.199626;1.765974;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.763129;0.198464;0.305107;0.094244
67;16.935711;0.705655;1.468583;0.307832;2.393708;0.099738;1.144845;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.6075;0.191979;0.288748;0.094244
68;17.058927;0.710789;1.565967;0.307832;2.514194;0.104758;1.242229;0;0.00273;0.000114;0.00273;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.616158;0.19234;0.289584;0.094244
69;9.261246;0.385885;1.268929;0.23485;0.962885;0.04012;0.945191;0;0.544559;0.02269;0.238633;0;1.367933;0.056997;0.159062;0.015906;6.385869;0.266078;0.364907;0.218944;2.603092;0.108462;0.233474;0.071901
70;5.636406;0.23485;0.23485;0.23485;0;0;0;0;0;0;0;0;0.381749;0.015906;0.015906;0.015906;5.254658;0.218944;0.218944;0.218944;1.725614;0.071901;0.071901;0.071901
71;15.838423;0.659934;1.046574;0.307832;0.851802;0.035492;0.438582;0;0.444618;0.018526;0.103431;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.643525;0.19348;0.320414;0.094244
72;15.660766;0.652532;0.943144;0.307832;1.118763;0.046615;0.561897;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.524734;0.188531;0.288748;0.094244
73;19.906787;0.829449;1.981892;0.307832;5.364785;0.223533;1.038748;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.800376;0.200016;0.356181;0.094244
74;19.582126;0.815922;2.081515;0.307832;5.040123;0.210005;1.757777;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.7793;0.199137;0.31702;0.094244
75;18.076152;0.753173;2.016148;0.307832;3.534149;0.147256;1.69241;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.681535;0.195064;0.288748;0.094244
76;9.984995;0.416041;1.790665;0.23485;2.231194;0.092966;1.466928;0;0;0;0;0;1.367933;0.056997;0.159062;0.015906;6.385869;0.266078;0.364907;0.218944;2.518709;0.104946;0.194344;0.071901
77;5.636406;0.23485;0.23485;0.23485;0;0;0;0;0;0;0;0;0.381749;0.015906;0.015906;0.015906;5.254658;0.218944;0.218944;0.218944;1.725614;0.071901;0.071901;0.071901
78;16.763764;0.69849;1.525978;0.307832;2.221761;0.092573;1.20224;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.596338;0.191514;0.288748;0.094244
79;17.689873;0.737078;1.237355;0.307832;3.14787;0.131161;0.816791;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.656459;0.194019;0.307848;0.094244
80;16.977883;0.707412;1.595524;0.307832;2.43588;0.101495;1.271786;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.610238;0.192093;0.288748;0.094244
81;16.402091;0.68342;1.165784;0.307832;1.538717;0.064113;0.842046;0;0.321371;0.01339;0.169019;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.650385;0.193766;0.340494;0.094244
82;15.316353;0.638181;0.997397;0.307832;0.77435;0.032265;0.273575;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.502375;0.187599;0.29227;0.094244
83;8.386139;0.349422;0.882181;0.23485;0.632338;0.026347;0.558444;0;0;0;0;0;1.367933;0.056997;0.159062;0.015906;6.385869;0.266078;0.364907;0.218944;2.414914;0.100621;0.160416;0.071901
84;5.636406;0.23485;0.23485;0.23485;0;0;0;0;0;0;0;0;0.381749;0.015906;0.015906;0.015906;5.254658;0.218944;0.218944;0.218944;1.725614;0.071901;0.071901;0.071901
85;15.078323;0.628263;1.086814;0.307832;0.245296;0.010221;0.154144;0;0.291024;0.012126;0.14367;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.557128;0.18988;0.332733;0.094244
86;16.25443;0.677268;1.383169;0.307832;0.000419;0.000017;0.000419;0;1.712008;0.071334;0.440026;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.976273;0.207345;0.423464;0.094244
87;16.791057;0.699627;1.451178;0.307832;0;0;0;0;2.249054;0.093711;0.508035;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;5.140665;0.214194;0.444285;0.094244
88;15.999426;0.666643;1.367058;0.307832;0;0;0;0;1.457423;0.060726;0.423915;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.898303;0.204096;0.418532;0.094244
89;16.785241;0.699385;1.43634;0.307832;0;0;0;0;2.243238;0.093468;0.493197;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;5.138884;0.21412;0.439743;0.094244
90;11.30024;0.470843;1.224953;0.23485;0;0;0;0;3.546439;0.147768;0.700985;0;1.367933;0.056997;0.159062;0.015906;6.385869;0.266078;0.364907;0.218944;3.459624;0.144151;0.375025;0.071901
91;5.636406;0.23485;0.23485;0.23485;0;0;0;0;0;0;0;0;0.381749;0.015906;0.015906;0.015906;5.254658;0.218944;0.218944;0.218944;1.725614;0.071901;0.071901;0.071901
92;16.07308;0.669712;1.303308;0.307832;0.454206;0.018925;0.34408;0;1.076871;0.04487;0.360164;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.811281;0.20047;0.399014;0.094244
93;15.998543;0.666606;1.310812;0.307832;0.245708;0.010238;0.172956;0;1.210832;0.050451;0.367669;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.838759;0.201615;0.401312;0.094244
94;16.14978;0.672908;1.31958;0.307832;0.022506;0.000938;0.022506;0;1.585271;0.066053;0.376436;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.938906;0.205788;0.403996;0.094244
95;15.129768;0.630407;1.107752;0.307832;0.117597;0.0049;0.063715;0;0.470168;0.01959;0.164608;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.603684;0.19182;0.339144;0.094244
96;15.261208;0.635884;1.103629;0.307832;0.317997;0.01325;0.23121;0;0.401208;0.016717;0.160486;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.595581;0.191483;0.337882;0.094244
