Day;Hour;EnergyConsumptionHourly;HeatingHourly;CoolingHourly;LightingHourly;PlugLoadsHourly;CarbonEquivalentEmissionsHourly
6;15;0.943144;0;0;0.286311;0.656832;0.288748
6;16;0.943144;0;0;0.286311;0.656832;0.288748
6;17;0.943144;0;0;0.286311;0.656832;0.288748
6;18;0.806538;0;0;0.222687;0.583851;0.246925
6;19;0.819514;0.222564;0;0.159062;0.437888;0.197208
6;20;0.59695;0;0;0.159062;0.437888;0.182759
6;21;0.460344;0;0;0.095437;0.364907;0.140937
6;22;0.460344;0;0;0.095437;0.364907;0.140937
6;23;0.323738;0;0;0.031812;0.291925;0.099114
6;24;0.307832;0;0;0.015906;0.291925;0.094244
7;1;0.307832;0;0;0.015906;0.291925;0.094244
7;2;0.307832;0;0;0.015906;0.291925;0.094244
7;3;0.307832;0;0;0.015906;0.291925;0.094244
7;4;0.307832;0;0;0.015906;0.291925;0.094244
7;5;0.307832;0;0;0.015906;0.291925;0.094244
7;6;1.794552;1.470814;0;0.031812;0.291925;0.194596
7;7;1.68346;1.359722;0;0.031812;0.291925;0.187384
7;8;1.768454;1.381092;0;0.095437;0.291925;0.20825
7;9;2.121589;1.178445;0;0.286311;0.656832;0.36525
7;10;1.720756;0.777613;0;0.286311;0.656832;0.339229
7;11;1.211122;0.267978;0;0.286311;0.656832;0.306145
7;12;0.943144;0;0;0.286311;0.656832;0.288748
7;13;0.870162;0;0;0.286311;0.583851;0.266404
7;14;0.943144;0;0;0.286311;0.656832;0.288748
7;15;0.943144;0;0;0.286311;0.656832;0.288748
7;16;0.943144;0;0;0.286311;0.656832;0.288748
7;17;0.943144;0;0;0.286311;0.656832;0.288748
7;18;0.808625;0.002088;0;0.222687;0.583851;0.247061
7;19;0.89354;0.29659;0;0.159062;0.437888;0.202013
7;20;0.59695;0;0;0.159062;0.437888;0.182759
7;21;0.460344;0;0;0.095437;0.364907;0.140937
7;22;0.460344;0;0;0.095437;0.364907;0.140937
7;23;0.323738;0;0;0.031812;0.291925;0.099114
7;24;0.307832;0;0;0.015906;0.291925;0.094244
8;1;0.307832;0;0;0.015906;0.291925;0.094244
8;2;0.307832;0;0;0.015906;0.291925;0.094244
8;3;0.307832;0;0;0.015906;0.291925;0.094244
8;4;0.307832;0;0;0.015906;0.291925;0.094244
8;5;0.307832;0;0;0.015906;0.291925;0.094244
8;6;2.126894;1.803156;0;0.031812;0.291925;0.216171
8;7;2.013762;1.690024;0;0.031812;0.291925;0.208827
8;8;2.108868;1.721506;0;0.095437;0.291925;0.230349
8;9;2.142217;1.199074;0;0.286311;0.656832;0.366589
8;10;1.573844;0.6307;0;0.286311;0.656832;0.329692
8;11;1.042708;0.099564;0;0.286311;0.656832;0.295212
8;12;0.943144;0;0;0.286311;0.656832;0.288748
8;13;0.870162;0;0;0.286311;0.583851;0.266404
8;14;0.943144;0;0;0.286311;0.656832;0.288748
8;15;0.943144;0;0;0.286311;0.656832;0.288748
8;16;0.943144;0;0;0.286311;0.656832;0.288748
8;17;0.943144;0;0;0.286311;0.656832;0.288748
8;18;0.900172;0.093634;0;0.222687;0.583851;0.253004
8;19;1.049579;0.452629;0;0.159062;0.437888;0.212143
8;20;0.59695;0;0;0.159062;0.437888;0.182759
8;21;0.460344;0;0;0.095437;0.364907;0.140937
8;22;0.460344;0;0;0.095437;0.364907;0.140937
8;23;0.323738;0;0;0.031812;0.291925;0.099114
8;24;0.307832;0;0;0.015906;0.291925;0.094244
9;1;0.307832;0;0;0.015906;0.291925;0.094244
9;2;0.307832;0;0;0.015906;0.291925;0.094244
9;3;0.307832;0;0;0.015906;0.291925;0.094244
9;4;0.307832;0;0;0.015906;0.291925;0.094244
9;5;0.307832;0;0;0.015906;0.291925;0.094244
9;6;2.016501;1.692763;0;0.031812;0.291925;0.209004
9;7;1.854512;1.530774;0;0.031812;0.291925;0.198488
9;8;1.904857;1.517495;0;0.095437;0.291925;0.217105
9;9;1.775449;0.832305;0;0.286311;0.656832;0.34278
9;10;1.228266;0.285122;0;0.286311;0.656832;0.307258
9;11;0.943955;0.000811;0;0.286311;0.656832;0.288801
9;12;0.943144;0;0;0.286311;0.656832;0.288748
9;13;0.870162;0;0;0.286311;0.583851;0.266404
9;14;0.943144;0;0;0.286311;0.656832;0.288748
9;15;0.943144;0;0;0.286311;0.656832;0.288748
9;16;0.943144;0;0;0.286311;0.656832;0.288748
9;17;0.943144;0;0;0.286311;0.656832;0.288748
9;18;0.817613;0.011076;0;0.222687;0.583851;0.247644
9;19;0.906319;0.309369;0;0.159062;0.437888;0.202843
9;20;0.59695;0;0;0.159062;0.437888;0.182759
9;21;0.460344;0;0;0.095437;0.364907;0.140937
9;22;0.460344;0;0;0.095437;0.364907;0.140937
9;23;0.323738;0;0;0.031812;0.291925;0.099114
9;24;0.307832;0;0;0.015906;0.291925;0.094244
10;1;0.307832;0;0;0.015906;0.291925;0.094244
10;2;0.307832;0;0;0.015906;0.291925;0.094244
10;3;0.307832;0;0;0.015906;0.291925;0.094244
10;4;0.307832;0;0;0.015906;0.291925;0.094244
10;5;0.307832;0;0;0.015906;0.291925;0.094244
10;6;2.021712;1.697975;0;0.031812;0.291925;0.209343
10;7;1.912965;1.589228;0;0.031812;0.291925;0.202283
10;8;1.941902;1.55454;0;0.095437;0.291925;0.21951
10;9;1.935356;0.992212;0;0.286311;0.656832;0.35316
10;10;1.429995;0.486852;0;0.286311;0.656832;0.320353
10;11;1.005186;0.062042;0;0.286311;0.656832;0.292776
10;12;0.943144;0;0;0.286311;0.656832;0.288748
10;13;0.870162;0;0;0.286311;0.583851;0.266404
10;14;0.943144;0;0;0.286311;0.656832;0.288748
10;15;0.943144;0;0;0.286311;0.656832;0.288748
10;16;0.943144;0;0;0.286311;0.656832;0.288748
10;17;0.943144;0;0;0.286311;0.656832;0.288748
10;18;0.998942;0.192405;0;0.222687;0.583851;0.259416
10;19;1.092461;0.495511;0;0.159062;0.437888;0.214927
10;20;0.59695;0;0;0.159062;0.437888;0.182759
10;21;0.460344;0;0;0.095437;0.364907;0.140937
10;22;0.460344;0;0;0.095437;0.364907;0.140937
10;23;0.323738;0;0;0.031812;0.291925;0.099114
10;24;0.307832;0;0;0.015906;0.291925;0.094244
11;1;0.307832;0;0;0.015906;0.291925;0.094244
11;2;0.307832;0;0;0.015906;0.291925;0.094244
11;3;0.307832;0;0;0.015906;0.291925;0.094244
11;4;0.307832;0;0;0.015906;0.291925;0.094244
11;5;0.307832;0;0;0.015906;0.291925;0.094244
11;6;2.168065;1.844327;0;0.031812;0.291925;0.218844
11;7;2.034623;1.710885;0;0.031812;0.291925;0.210181
11;8;2.09196;1.704597;0;0.095437;0.291925;0.229252
11;9;2.331226;1.388082;0;0.286311;0.656832;0.378859
11;10;2.170224;1.22708;0;0.286311;0.656832;0.368407
11;11;1.789069;0.845925;0;0.286311;0.656832;0.343664
11;12;1.450599;0.507455;0;0.286311;0.656832;0.321691
11;13;1.218047;0.347884;0;0.286311;0.583851;0.288988
11;14;1.30725;0.364106;0;0.286311;0.656832;0.312385
11;15;1.292109;0.348966;0;0.286311;0.656832;0.311402
11;16;1.401084;0.45794;0;0.286311;0.656832;0.318477
11;17;1.58368;0.640536;0;0.286311;0.656832;0.33033
11;18;1.64855;0.842013;0;0.222687;0.583851;0.301587
11;19;1.598547;1.001597;0;0.159062;0.437888;0.247781
11;20;0.59695;0;0;0.159062;0.437888;0.182759
11;21;0.460344;0;0;0.095437;0.364907;0.140937
11;22;0.460344;0;0;0.095437;0.364907;0.140937
11;23;0.323738;0;0;0.031812;0.291925;0.099114
11;24;0.307832;0;0;0.015906;0.291925;0.094244
12;1;0.307832;0;0;0.015906;0.291925;0.094244
12;2;0.307832;0;0;0.015906;0.291925;0.094244
12;3;0.307832;0;0;0.015906;0.291925;0.094244
12;4;0.307832;0;0;0.015906;0.291925;0.094244
12;5;0.307832;0;0;0.015906;0.291925;0.094244
12;6;2.219719;1.895981;0;0.031812;0.291925;0.222197
12;7;2.012624;1.688887;0;0.031812;0.291925;0.208753
12;8;1.999379;1.612016;0;0.095437;0.291925;0.223241
12;9;2.136838;1.193694;0;0.286311;0.656832;0.36624
12;10;1.995002;1.051859;0;0.286311;0.656832;0.357032
12;11;1.85051;0.907367;0;0.286311;0.656832;0.347652
12;12;1.668651;0.725507;0;0.286311;0.656832;0.335846
12;13;1.423828;0.553665;0;0.286311;0.583851;0.302347
12;14;1.488623;0.545479;0;0.286311;0.656832;0.324159
12;15;1.475572;0.532428;0;0.286311;0.656832;0.323312
12;16;1.499027;0.555884;0;0.286311;0.656832;0.324835
12;17;1.610928;0.667784;0;0.286311;0.656832;0.332099
12;18;1.633182;0.826644;0;0.222687;0.583851;0.300589
12;19;1.586122;0.989172;0;0.159062;0.437888;0.246974
12;20;0.59695;0;0;0.159062;0.437888;0.182759
12;21;0.460344;0;0;0.095437;0.364907;0.140937
12;22;0.460344;0;0;0.095437;0.364907;0.140937
12;23;0.323738;0;0;0.031812;0.291925;0.099114
12;24;0.307832;0;0;0.015906;0.291925;0.094244
13;1;0.307832;0;0;0.015906;0.291925;0.094244
13;2;0.307832;0;0;0.015906;0.291925;0.094244
13;3;0.307832;0;0;0.015906;0.291925;0.094244
13;4;0.307832;0;0;0.015906;0.291925;0.094244
13;5;0.307832;0;0;0.015906;0.291925;0.094244
13;6;2.350866;2.027128;0;0.031812;0.291925;0.230711
13;7;2.16811;1.844372;0;0.031812;0.291925;0.218846
13;8;2.137318;1.749955;0;0.095437;0.291925;0.232196
13;9;1.862421;0.919277;0;0.286311;0.656832;0.348426
13;10;1.426617;0.483473;0;0.286311;0.656832;0.320134
13;11;1.043852;0.100708;0;0.286311;0.656832;0.295286
13;12;0.943144;0;0;0.286311;0.656832;0.288748
13;13;0.872454;0.002292;0;0.286311;0.583851;0.266553
13;14;0.943144;0;0;0.286311;0.656832;0.288748
13;15;0.943144;0;0;0.286311;0.656832;0.288748
13;16;0.943144;0;0;0.286311;0.656832;0.288748
13;17;0.976665;0.033521;0;0.286311;0.656832;0.290924
13;18;1.141636;0.335098;0;0.222687;0.583851;0.268679
13;19;1.220341;0.623391;0;0.159062;0.437888;0.223228
13;20;0.59695;0;0;0.159062;0.437888;0.182759
13;21;0.460344;0;0;0.095437;0.364907;0.140937
13;22;0.460344;0;0;0.095437;0.364907;0.140937
13;23;0.323738;0;0;0.031812;0.291925;0.099114
13;24;0.307832;0;0;0.015906;0.291925;0.094244
14;1;0.307832;0;0;0.015906;0.291925;0.094244
14;2;0.307832;0;0;0.015906;0.291925;0.094244
14;3;0.307832;0;0;0.015906;0.291925;0.094244
14;4;0.307832;0;0;0.015906;0.291925;0.094244
14;5;0.307832;0;0;0.015906;0.291925;0.094244
14;6;1.997534;1.673796;0;0.031812;0.291925;0.207773
14;7;1.831667;1.507929;0;0.031812;0.291925;0.197005
14;8;1.793561;1.406199;0;0.095437;0.291925;0.20988
14;9;1.502436;0.559292;0;0.286311;0.656832;0.325056
14;10;1.023861;0.080717;0;0.286311;0.656832;0.293988
14;11;0.943144;0;0;0.286311;0.656832;0.288748
14;12;0.943144;0;0;0.286311;0.656832;0.288748
14;13;0.870162;0;0;0.286311;0.583851;0.266404
14;14;0.943144;0;0;0.286311;0.656832;0.288748
14;15;0.943144;0;0;0.286311;0.656832;0.288748
14;16;0.943144;0;0;0.286311;0.656832;0.288748
14;17;0.943144;0;0;0.286311;0.656832;0.288748
14;18;0.815384;0.008846;0;0.222687;0.583851;0.2475
14;19;0.885775;0.288825;0;0.159062;0.437888;0.201509
14;20;0.59695;0;0;0.159062;0.437888;0.182759
14;21;0.460344;0;0;0.095437;0.364907;0.140937
14;22;0.460344;0;0;0.095437;0.364907;0.140937
14;23;0.323738;0;0;0.031812;0.291925;0.099114
14;24;0.307832;0;0;0.015906;0.291925;0.094244
15;1;0.307832;0;0;0.015906;0.291925;0.094244
15;2;0.307832;0;0;0.015906;0.291925;0.094244
15;3;0.307832;0;0;0.015906;0.291925;0.094244
15;4;0.307832;0;0;0.015906;0.291925;0.094244
15;5;0.307832;0;0;0.015906;0.291925;0.094244
15;6;1.822471;1.498733;0;0.031812;0.291925;0.196408
15;7;1.723702;1.399964;0;0.031812;0.291925;0.189996
15;8;1.712617;1.325255;0;0.095437;0.291925;0.204626
15;9;1.446542;0.503398;0;0.286311;0.656832;0.321428
15;10;1.071463;0.12832;0;0.286311;0.656832;0.297078
15;11;0.943144;0;0;0.286311;0.656832;0.288748
15;12;0.943144;0;0;0.286311;0.656832;0.288748
15;13;0.870162;0;0;0.286311;0.583851;0.266404
15;14;0.943144;0;0;0.286311;0.656832;0.288748
15;15;0.943144;0;0;0.286311;0.656832;0.288748
15;16;0.943144;0;0;0.286311;0.656832;0.288748
15;17;0.943144;0;0;0.286311;0.656832;0.288748
15;18;0.806538;0;0;0.222687;0.583851;0.246925
15;19;0.816525;0.219575;0;0.159062;0.437888;0.197014
15;20;0.59695;0;0;0.159062;0.437888;0.182759
15;21;0.460344;0;0;0.095437;0.364907;0.140937
15;22;0.460344;0;0;0.095437;0.364907;0.140937
15;23;0.323738;0;0;0.031812;0.291925;0.099114
15;24;0.307832;0;0;0.015906;0.291925;0.094244
16;1;0.307832;0;0;0.015906;0.291925;0.094244
16;2;0.307832;0;0;0.015906;0.291925;0.094244
16;3;0.307832;0;0;0.015906;0.291925;0.094244
16;4;0.307832;0;0;0.015906;0.291925;0.094244
16;5;0.307832;0;0;0.015906;0.291925;0.094244
16;6;1.713256;1.389518;0;0.031812;0.291925;0.189318
16;7;1.592904;1.269167;0;0.031812;0.291925;0.181505
16;8;1.555703;1.168341;0;0.095437;0.291925;0.194439
16;9;1.399327;0.456183;0;0.286311;0.656832;0.318362
16;10;1.177793;0.234649;0;0.286311;0.656832;0.303981
16;11;0.950838;0.007694;0;0.286311;0.656832;0.289248
16;12;0.943144;0;0;0.286311;0.656832;0.288748
16;13;0.870162;0;0;0.286311;0.583851;0.266404
16;14;0.943144;0;0;0.286311;0.656832;0.288748
16;15;0.943144;0;0;0.286311;0.656832;0.288748
16;16;0.943144;0;0;0.286311;0.656832;0.288748
16;17;0.943144;0;0;0.286311;0.656832;0.288748
16;18;0.887765;0.081228;0;0.222687;0.583851;0.252199
16;19;0.950943;0.353993;0;0.159062;0.437888;0.20574
16;20;0.59695;0;0;0.159062;0.437888;0.182759
16;21;0.460344;0;0;0.095437;0.364907;0.140937
16;22;0.460344;0;0;0.095437;0.364907;0.140937
16;23;0.323738;0;0;0.031812;0.291925;0.099114
16;24;0.307832;0;0;0.015906;0.291925;0.094244
17;1;0.307832;0;0;0.015906;0.291925;0.094244
17;2;0.307832;0;0;0.015906;0.291925;0.094244
17;3;0.307832;0;0;0.015906;0.291925;0.094244
17;4;0.307832;0;0;0.015906;0.291925;0.094244
17;5;0.307832;0;0;0.015906;0.291925;0.094244
17;6;1.590223;1.266485;0;0.031812;0.291925;0.181331
17;7;1.458941;1.135203;0;0.031812;0.291925;0.172809
17;8;1.509087;1.121724;0;0.095437;0.291925;0.191413
17;9;1.871105;0.927961;0;0.286311;0.656832;0.348989
17;10;1.712414;0.76927;0;0.286311;0.656832;0.338687
17;11;1.571616;0.628472;0;0.286311;0.656832;0.329547
17;12;1.417762;0.474618;0;0.286311;0.656832;0.319559
17;13;1.265008;0.394846;0;0.286311;0.583851;0.292037
17;14;1.237022;0.293878;0;0.286311;0.656832;0.307826
17;15;1.211162;0.268018;0;0.286311;0.656832;0.306147
17;16;1.244513;0.30137;0;0.286311;0.656832;0.308312
17;17;1.32138;0.378237;0;0.286311;0.656832;0.313302
17;18;1.341651;0.535114;0;0.222687;0.583851;0.281664
17;19;1.317693;0.720742;0;0.159062;0.437888;0.229548
17;20;0.59695;0;0;0.159062;0.437888;0.182759
17;21;0.460344;0;0;0.095437;0.364907;0.140937
17;22;0.460344;0;0;0.095437;0.364907;0.140937
17;23;0.323738;0;0;0.031812;0.291925;0.099114
17;24;0.307832;0;0;0.015906;0.291925;0.094244
18;1;0.307832;0;0;0.015906;0.291925;0.094244
18;2;0.307832;0;0;0.015906;0.291925;0.094244
18;3;0.307832;0;0;0.015906;0.291925;0.094244
18;4;0.307832;0;0;0.015906;0.291925;0.094244
18;5;0.307832;0;0;0.015906;0.291925;0.094244
18;6;2.095918;1.77218;0;0.031812;0.291925;0.21416
18;7;1.954371;1.630633;0;0.031812;0.291925;0.204971
18;8;1.956785;1.569422;0;0.095437;0.291925;0.220476
18;9;1.723062;0.779918;0;0.286311;0.656832;0.339379
18;10;1.394992;0.451848;0;0.286311;0.656832;0.318081
18;11;1.294287;0.351144;0;0.286311;0.656832;0.311544
18;12;1.194348;0.251204;0;0.286311;0.656832;0.305056
18;13;0.981944;0.111782;0;0.286311;0.583851;0.273661
18;14;0.95953;0.016386;0;0.286311;0.656832;0.289812
18;15;0.943144;0;0;0.286311;0.656832;0.288748
18;16;0.987372;0.044229;0;0.286311;0.656832;0.291619
18;17;1.147069;0.203926;0;0.286311;0.656832;0.301986
18;18;1.261417;0.45488;0;0.222687;0.583851;0.276455
18;19;1.282936;0.685985;0;0.159062;0.437888;0.227292
18;20;0.59695;0;0;0.159062;0.437888;0.182759
18;21;0.460344;0;0;0.095437;0.364907;0.140937
18;22;0.460344;0;0;0.095437;0.364907;0.140937
18;23;0.323738;0;0;0.031812;0.291925;0.099114
18;24;0.307832;0;0;0.015906;0.291925;0.094244
19;1;0.307832;0;0;0.015906;0.291925;0.094244
19;2;0.307832;0;0;0.015906;0.291925;0.094244
19;3;0.307832;0;0;0.015906;0.291925;0.094244
19;4;0.307832;0;0;0.015906;0.291925;0.094244
19;5;0.307832;0;0;0.015906;0.291925;0.094244
19;6;2.230477;1.906739;0;0.031812;0.291925;0.222895
19;7;2.091639;1.767902;0;0.031812;0.291925;0.213882
19;8;2.118361;1.730999;0;0.095437;0.291925;0.230966
19;9;2.16523;1.222087;0;0.286311;0.656832;0.368083
19;10;1.957059;1.013915;0;0.286311;0.656832;0.354569
19;11;1.658587;0.715443;0;0.286311;0.656832;0.335193
19;12;1.446691;0.503547;0;0.286311;0.656832;0.321437
19;13;1.19534;0.325177;0;0.286311;0.583851;0.287514
19;14;1.195707;0.252564;0;0.286311;0.656832;0.305144
19;15;1.13353;0.190386;0;0.286311;0.656832;0.301108
19;16;1.233752;0.290608;0;0.286311;0.656832;0.307614
19;17;1.428258;0.485114;0;0.286311;0.656832;0.320241
19;18;1.530736;0.724198;0;0.222687;0.583851;0.293939
19;19;1.520505;0.923555;0;0.159062;0.437888;0.242714
19;20;0.59695;0;0;0.159062;0.437888;0.182759
19;21;0.460344;0;0;0.095437;0.364907;0.140937
19;22;0.460344;0;0;0.095437;0.364907;0.140937
19;23;0.323738;0;0;0.031812;0.291925;0.099114
19;24;0.307832;0;0;0.015906;0.291925;0.094244
20;1;0.307832;0;0;0.015906;0.291925;0.094244
20;2;0.307832;0;0;0.015906;0.291925;0.094244
20;3;0.307832;0;0;0.015906;0.291925;0.094244
20;4;0.307832;0;0;0.015906;0.291925;0.094244
20;5;0.307832;0;0;0.015906;0.291925;0.094244
20;6;2.336222;2.012485;0;0.031812;0.291925;0.22976
20;7;2.141071;1.817334;0;0.031812;0.291925;0.217091
20;8;2.10607;1.718707;0;0.095437;0.291925;0.230168
20;9;1.970242;1.027098;0;0.286311;0.656832;0.355425
20;10;1.723512;0.780368;0;0.286311;0.656832;0.339408
20;11;1.359924;0.41678;0;0.286311;0.656832;0.315805
20;12;0.977355;0.034212;0;0.286311;0.656832;0.290969
20;13;0.870162;0;0;0.286311;0.583851;0.266404
20;14;0.943144;0;0;0.286311;0.656832;0.288748
